Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670675,1490000.0,403800.0,186700.0,237500.0,-300.0
670677,1370000.0,340500.0,162200.0,173300.0,-700.0
670679,1350000.0,238100.0,228500.0,90800.0,900.0
670681,1230000.0,356300.0,224900.0,83700.0,-100.0
670683,1230000.0,189000.0,175400.0,141900.0,-100.0
670685,1170000.0,375000.0,191900.0,72500.0,-100.0
670687,1070000.0,330700.0,227300.0,133500.0,-100.0
670689,660000.0,186000.0,102700.0,12700.0,-100.0
670691,1080000.0,292200.0,240200.0,100300.0,-100.0
670693,1120000.0,271700.0,192900.0,123600.0,-400.0
670695,910000.0,207900.0,171500.0,44400.0,-200.0
670697,1160000.0,260700.0,204600.0,116900.0,600.0
670699,1490000.0,293000.0,182100.0,110900.0,-400.0
670701,1770000.0,259000.0,248400.0,110600.0,-200.0
670703,1800000.0,239600.0,280500.0,323300.0,-300.0
670705,1830000.0,226500.0,192900.0,234600.0,22000.0
670707,1870000.0,296300.0,226500.0,226600.0,35300.0
670709,1680000.0,386600.0,213400.0,178300.0,3100.0
670711,1340000.0,242600.0,168500.0,95700.0,-500.0
670713,1170000.0,183300.0,108200.0,124800.0,-500.0
670715,1640000.0,321000.0,207300.0,194800.0,0.0
670717,710000.0,203900.0,36800.0,50000.0,-300.0
670719,2020000.0,245100.0,233700.0,145200.0,5100.0
670721,1690000.0,332500.0,177500.0,67200.0,4500.0
670723,1320000.0,215500.0,211900.0,235200.0,-100.0
670725,1410000.0,275000.0,207000.0,124300.0,-100.0
670727,1670000.0,441000.0,218000.0,165400.0,0.0
670729,1870000.0,406500.0,290100.0,202500.0,0.0
670731,1770000.0,465500.0,226500.0,186600.0,-300.0
670733,1410000.0,420900.0,121200.0,109200.0,-900.0
670735,1410000.0,363800.0,96900.0,175200.0,5700.0
670737,1510000.0,293800.0,166300.0,32200.0,-200.0
670739,1510000.0,281600.0,208800.0,179900.0,2100.0
670741,1130000.0,297600.0,153900.0,16000.0,3000.0
670743,1480000.0,285900.0,217100.0,127600.0,-100.0
670745,2150000.0,252200.0,176900.0,114200.0,-400.0
670747,2410000.0,319000.0,290900.0,78600.0,5300.0
670749,1540000.0,193800.0,221000.0,266800.0,8500.0
670751,2130000.0,378400.0,279500.0,292400.0,6200.0
670753,2090000.0,343400.0,256300.0,297800.0,800.0
670755,1390000.0,241100.0,167300.0,204400.0,6300.0
670757,1750000.0,233200.0,193000.0,174700.0,1100.0
670759,2230000.0,436100.0,228700.0,171300.0,4600.0
670761,1670000.0,386600.0,285800.0,95000.0,-100.0
670763,1720000.0,447900.0,226600.0,113200.0,-100.0
670765,1410000.0,400400.0,118100.0,100700.0,-500.0
670767,1400000.0,338800.0,108700.0,167900.0,5300.0
670769,1500000.0,287100.0,184000.0,30100.0,-200.0
670771,1460000.0,250900.0,217900.0,183100.0,2200.0
670773,1160000.0,281800.0,157000.0,20600.0,3000.0
670775,1480000.0,290200.0,221400.0,130600.0,-100.0
670777,2140000.0,254000.0,179200.0,113800.0,-300.0
